Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR21844355,WGS,301,378224658,PRJNA809394,SAMN26305050,Pathogen.cl,177359535,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-15,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833381,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772467,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772467,SRP401320,772467
SRR21844356,WGS,301,315807843,PRJNA809394,SAMN26305038,Pathogen.cl,148861566,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-15,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833380,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772459,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772459,SRP401320,772459
SRR21844357,WGS,301,298016805,PRJNA809394,SAMN26304948,Pathogen.cl,141229371,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-15,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833379,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772441,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772441,SRP401320,772441
SRR21844358,WGS,301,296530898,PRJNA809394,SAMN26308354,Pathogen.cl,140852081,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-14,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833378,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772433,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772433,SRP401320,772433
SRR21844359,WGS,301,299094158,PRJNA809394,SAMN26304414,Pathogen.cl,141148793,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-14,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833377,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772425,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772425,SRP401320,772425
SRR21844360,WGS,301,322369076,PRJNA809394,SAMN26304742,Pathogen.cl,152437216,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-14,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833376,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772417,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772417,SRP401320,772417
SRR21844361,WGS,301,340954086,PRJNA809394,SAMN26305059,Pathogen.cl,160665923,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-14,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833375,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772409,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:07:00Z,1,772409,SRP401320,772409
SRR21844362,WGS,301,305811182,PRJNA809394,SAMN26304883,Pathogen.cl,143796913,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-14,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833374,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772395,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:50:00Z,1,772395,SRP401320,772395
SRR21844363,WGS,301,369727782,PRJNA809394,SAMN26304816,Pathogen.cl,173391193,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-13,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833373,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772387,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:50:00Z,1,772387,SRP401320,772387
SRR21844364,WGS,301,384174418,PRJNA809394,SAMN26308433,Pathogen.cl,179964800,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-13,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833372,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772379,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:50:00Z,1,772379,SRP401320,772379
SRR21844365,WGS,301,432428612,PRJNA809394,SAMN26309405,Pathogen.cl,205781064,MRSN BI TEAM,Walter Reed Army Medical Center,2020-02-20,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833371,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,758707,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:50:00Z,1,758707,SRP401320,758707
SRR21844366,WGS,301,312240910,PRJNA809394,SAMN26308592,Pathogen.cl,146965197,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-12,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833370,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772361,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,772361,SRP401320,772361
SRR21844367,WGS,301,353657267,PRJNA809394,SAMN26308945,Pathogen.cl,166578228,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-11,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833369,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772353,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,772353,SRP401320,772353
SRR21844368,WGS,301,331780503,PRJNA809394,SAMN26308666,Pathogen.cl,155935940,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-11,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833368,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772345,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,772345,SRP401320,772345
SRR21844369,WGS,301,335464794,PRJNA809394,SAMN26304400,Pathogen.cl,158306862,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-10,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833367,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772337,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,772337,SRP401320,772337
SRR21844370,WGS,301,309567301,PRJNA809394,SAMN26309293,Pathogen.cl,145599607,MRSN BI TEAM,Walter Reed Army Medical Center,2020-04-10,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833366,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,772329,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,772329,SRP401320,772329
SRR21844371,WGS,301,503982184,PRJNA809394,SAMN26305184,Pathogen.cl,245640037,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-24,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833365,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,768081,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,768081,SRP401320,768081
SRR21844372,WGS,301,541849659,PRJNA809394,SAMN26305162,Pathogen.cl,265660618,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-24,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833364,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,768073,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:52:00Z,1,768073,SRP401320,768073
SRR21844373,WGS,301,506251645,PRJNA809394,SAMN26308543,Pathogen.cl,248557456,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-24,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833363,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,768065,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:52:00Z,1,768065,SRP401320,768065
SRR21844374,WGS,301,496855584,PRJNA809394,SAMN26308437,Pathogen.cl,243740486,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-23,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833362,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,768057,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,768057,SRP401320,768057
SRR21844375,WGS,301,422731064,PRJNA809394,SAMN26304700,Pathogen.cl,208031755,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-23,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833361,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,768049,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,768049,SRP401320,768049
SRR21844376,WGS,301,434037804,PRJNA809394,SAMN26304502,Pathogen.cl,213418077,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-23,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833360,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,768031,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:52:00Z,1,768031,SRP401320,768031
SRR21844377,WGS,301,501511812,PRJNA809394,SAMN26304471,Pathogen.cl,247346342,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-23,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833359,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,768023,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:52:00Z,1,768023,SRP401320,768023
SRR21844378,WGS,301,463203193,PRJNA809394,SAMN26305123,Pathogen.cl,222019300,MRSN BI TEAM,Walter Reed Army Medical Center,2020-02-19,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833358,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,Perirectal,38.97 N 77.03 W,758627,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:50:00Z,1,758627,SRP401320,758627
SRR21844379,WGS,301,517925310,PRJNA809394,SAMN26308502,Pathogen.cl,253085436,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-21,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833357,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,768015,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:52:00Z,1,768015,SRP401320,768015
SRR21844380,WGS,301,585045954,PRJNA809394,SAMN26309324,Pathogen.cl,285826507,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-21,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833356,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,768007,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:52:00Z,1,768007,SRP401320,768007
SRR21844381,WGS,301,621763236,PRJNA809394,SAMN26305240,Pathogen.cl,305388007,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-21,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833355,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,767999,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:52:00Z,1,767999,SRP401320,767999
SRR21844382,WGS,301,643864098,PRJNA809394,SAMN26304852,Pathogen.cl,310140569,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-20,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833354,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,767981,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:52:00Z,1,767981,SRP401320,767981
SRR21844383,WGS,301,393417029,PRJNA809394,SAMN26304741,Pathogen.cl,192688744,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-20,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833353,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,767973,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,767973,SRP401320,767973
SRR21844384,WGS,301,444888351,PRJNA809394,SAMN26304320,Pathogen.cl,217935285,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-20,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833352,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,767965,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,767965,SRP401320,767965
SRR21844385,WGS,301,401332193,PRJNA809394,SAMN26304796,Pathogen.cl,196796058,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-19,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833351,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,767957,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:51:00Z,1,767957,SRP401320,767957
SRR21844386,WGS,301,486149977,PRJNA809394,SAMN26305107,Pathogen.cl,237724994,MRSN BI TEAM,Walter Reed Army Medical Center,2020-03-19,public,"fastq,realign,run.zq,sra,wgmlst_sig","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX17833350,USA,North America,USA: District of Columbia,not collected,Homo sapiens,Illumina MiSeq,urine,38.97 N 77.03 W,767949,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-10-08T00:00:00Z,2022-10-08T11:52:00Z,1,767949,SRP401320,767949
